time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-14T07:54:42.658Z,-22.4068,-179.556,577.324,4.5,mb,30,121,5.153,1.01,us,us7000nrnx,2024-11-14T08:11:58.040Z,"south of the Fiji Islands",earthquake,15.71,10.6,0.111,24,reviewed,us,us
2024-11-14T02:38:16.141Z,23.8706,121.6613,25.715,4.6,mwr,90,54,0.582,0.85,us,us7000nrn9,2024-11-14T19:31:10.783Z,"13 km SSE of Hualien City, Taiwan",earthquake,3.19,5.012,0.073,18,reviewed,us,us
2024-11-14T02:12:06.138Z,29.1797,130.128,60.094,4.5,mb,32,101,2.339,0.85,us,us7000nrn4,2024-11-14T02:36:05.040Z,"95 km NNE of Tatsugō, Japan",earthquake,3.78,9.823,0.121,20,reviewed,us,us
2024-11-14T00:02:13.676Z,39.9614,141.5736,77.367,4.5,mb,48,133,0.914,0.62,us,us7000nrml,2024-11-14T00:19:07.040Z,"14 km SE of Kuzumaki, Japan",earthquake,7.2,5.23,0.083,43,reviewed,us,us
2024-11-13T18:40:42.595Z,-5.0536,102.2359,19.821,4.9,mb,92,94,0.994,0.72,us,us7000nrl4,2024-11-13T20:22:26.040Z,"138 km S of Bengkulu, Indonesia",earthquake,6.69,3.664,0.071,62,reviewed,us,us
2024-11-13T16:34:09.884Z,31.9622,140.3579,89.072,4.5,mb,42,212,1.238,0.88,us,us7000nrky,2024-11-17T02:32:58.040Z,"Izu Islands, Japan region",earthquake,10.82,8.475,0.104,27,reviewed,us,us
2024-11-13T15:47:56.709Z,36.5196,70.8494,224.206,4.9,mb,88,65,2.086,0.63,us,us7000nrj9,2024-11-13T17:21:31.226Z,"38 km S of Jurm, Afghanistan",earthquake,7.4,6.859,0.044,163,reviewed,us,us
2024-11-13T10:20:35.465Z,13.8815,145.768,76.518,4.6,mb,30,140,0.921,0.81,us,us7000nrir,2024-11-13T10:54:34.608Z,"102 km ENE of Yigo Village, Guam",earthquake,5.93,8.814,0.109,25,reviewed,us,us
2024-11-13T09:07:03.162Z,60.9448,-147.3606,16.2,4.5,ml,,,,0.56,ak,ak024em2arnr,2024-11-15T08:15:17.656Z,"38 km WNW of Tatitlek, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2024-11-13T05:21:50.863Z,-22.4052,170.9887,10,4.8,mb,28,200,3.282,0.87,us,us7000nrhs,2024-11-13T12:03:34.376Z,"southeast of the Loyalty Islands",earthquake,12.15,1.96,0.118,22,reviewed,us,us
2024-11-13T05:13:20.699Z,36.5438,71.1536,220.721,5.1,mb,55,62,2.218,0.65,us,us7000nrhn,2024-11-15T14:58:47.679Z,"37 km WSW of Ashkāsham, Afghanistan",earthquake,8.02,9.774,0.074,59,reviewed,us,us
2024-11-13T04:15:08.174Z,29.6985,92.2414,10,4.5,mb,30,116,6.398,0.6,us,us7000nrhe,2024-11-15T00:31:54.040Z,"110 km E of Lhasa, China",earthquake,6.62,1.915,0.102,28,reviewed,us,us
2024-11-13T01:41:08.664Z,-8.2407,107.8641,88.635,4.9,mb,56,80,0.802,0.65,us,us7000nrgq,2024-11-14T21:43:59.528Z,"102 km SSW of Singaparna, Indonesia",earthquake,6.86,6.391,0.063,80,reviewed,us,us
2024-11-13T01:29:31.011Z,-58.7095,-24.8565,19.525,5.1,mb,69,51,19.257,0.57,us,us7000nrgn,2024-11-13T05:51:05.040Z,"South Sandwich Islands region",earthquake,12.02,3.797,0.065,78,reviewed,us,us
2024-11-13T00:18:23.014Z,16.2346,-98.4411,12.648,5,mww,40,180,1.326,0.75,us,us7000nrgf,2024-11-15T15:12:35.156Z,"11 km S of Santiago Tepextla, Mexico",earthquake,10.04,3.809,0.059,28,reviewed,us,us
2024-11-13T00:07:36.477Z,53.1188,159.4094,65.189,4.5,mb,31,136,0.468,0.82,us,us7000nrge,2024-11-13T00:34:31.040Z,"52 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,12.88,8.514,0.106,26,reviewed,us,us
2024-11-12T16:08:42.283Z,-1.3545,-13.2325,10,5.4,mb,298,30,6.63,0.55,us,us7000nrcp,2024-11-14T16:38:28.718Z,"north of Ascension Island",earthquake,8.74,1.776,0.034,305,reviewed,us,us
2024-11-12T14:31:59.248Z,-4.6006,152.4987,87.552,5.3,mww,221,21,0.526,0.79,us,us7000nrci,2024-11-14T17:54:53.035Z,"38 km SE of Kokopo, Papua New Guinea",earthquake,7.35,4.26,0.098,10,reviewed,us,us
2024-11-12T13:48:50.344Z,36.3155,141.2801,38.636,4.5,mb,58,137,2.487,0.53,us,us7000nrcd,2024-11-12T17:19:14.040Z,"62 km E of Ōarai, Japan",earthquake,9.05,7.721,0.079,50,reviewed,us,us
2024-11-12T09:24:26.883Z,0.5833,126.1828,17.81,5.2,mww,81,46,1.198,1.1,us,us7000nrbx,2024-11-12T09:39:46.040Z,"135 km W of Ternate, Indonesia",earthquake,6.71,4.353,0.086,13,reviewed,us,us
2024-11-12T06:26:32.196Z,-3.2155,123.4697,10.169,4.6,mb,31,89,2.269,0.72,us,us7000nrbp,2024-11-12T08:07:35.040Z,"135 km NE of Kendari, Indonesia",earthquake,3.95,5.13,0.128,18,reviewed,us,us
